Sentence,Severity Label,Rule Category,Explanation
The concept of 'gender dysphoria' is being overused to label normal adolescent angst.,Biased,Medical Misinformation,Downplays or misrepresents a legitimate medical diagnosis.
"Transgender women are not 'real' women, they are men trying to be women.",Biased,Identity Invalidation,Denies the validity of transgender women's gender identity.
The influence of LGBTQ+ themes in media is corrupting young minds.,Biased,Cultural Threat Narrative,Portrays exposure to LGBTQ+ representation as harmful to youth.
Lesbian relationships are inherently unstable due to the lack of a male presence.,Biased,Negative Stereotyping,Applies a harmful stereotype about relationship stability based on gender.
Gender transition is a dangerous path that often leads to regret.,Biased,Medical Misinformation,"Presents gender transition as inherently harmful and regrettable, ignoring positive outcomes."
Non-monogamy is just an excuse for promiscuity and infidelity.,Biased,Negative Stereotyping,"Stereotypes non-monogamous relationships negatively, ignoring diverse ethical practices."
We shouldn't allow children to identify as transgender; it's the parents' responsibility to guide them.,Biased,Identity Invalidation,Undermines a child's self-identity and places undue control with parents.
The LGBTQ+ community is trying to erase traditional gender roles.,Biased,Cultural Threat Narrative,Frames challenges to traditional gender roles as an attempt at erasure.
People who identify as aromantic are simply emotionally stunted.,Biased,Identity Invalidation,Attributes aromantic identity to a personal failing rather than a valid orientation.
The push for inclusive language is an attack on free speech.,Biased,Tone Policing,Frames efforts for respectful communication as an infringement on rights.
Transgender individuals are just seeking attention or validation.,Biased,Identity Invalidation,Dismisses the authenticity of transgender identities as a bid for attention.
"Homosexuality was considered a mental illness in the past, and we should revisit those findings.",Biased,Historical Pathologization,Advocates for the return of discredited medical classifications for sexual orientation.
Bisexual people are inherently confused and unable to commit.,Biased,Negative Stereotyping,Promotes a harmful stereotype about bisexuality and commitment.
The increasing visibility of LGBTQ+ people is a sign of moral decline.,Biased,Cultural Threat Narrative,Associates LGBTQ+ visibility with negative societal changes.
"Gender identity is a social construct, not a biological reality.",Biased,Denial of Biological Basis,"Dismisses the biological underpinnings of gender identity, framing it as purely social."
Children raised by same-sex parents are more likely to experience developmental issues.,Biased,False Causality,Asserts a link between family structure and negative outcomes without evidence.
The term 'cisgender' is unnecessary and divisive; we should just use 'man' and 'woman'.,Biased,Erasure,Seeks to erase the language that acknowledges and validates cisgender identities.
